,draft_year,draft_round,pick_no,team,prospect_name,prospect_id,dob,birth_country,height,weight,shoots,nhl_id,position,prospect_category,amateur_league,amateur_team
0,2009,1,1,New York Islanders,John Tavares,24111,1990-09-20,CAN,"6' 1""",209,L,8475166,C,North American Skater,OHL,London
1,2009,1,2,Tampa Bay Lightning,Victor Hedman,33799,1990-12-18,SWE,"6' 6""",220,L,8475167,D,European Skater,SWEDEN,Modo
2,2009,1,3,Colorado Avalanche,Matt Duchene,6608,1991-01-16,CAN,"6' 0""",196,L,8475168,C,North American Skater,OHL,Brampton
3,2009,1,4,Atlanta Thrashers,Evander Kane,12164,1991-08-02,CAN,"6' 1""",176,L,8475169,C,North American Skater,WHL,Vancouver
4,2009,1,5,Los Angeles Kings,Brayden Schenn,21822,1991-08-22,CAN,"6' 0""",192,L,8475170,C,North American Skater,WHL,Brandon
5,2009,1,6,Phoenix Coyotes,Oliver Ekman-Larsson,31256,1991-07-17,SWE,"6' 2""",200,L,8475171,D,European Skater,SWEDEN-2,Leksand
6,2009,1,7,Toronto Maple Leafs,Nazem Kadri,12113,1990-10-06,CAN,"6' 0""",167,L,8475172,C,North American Skater,OHL,London
7,2009,1,8,Dallas Stars,Scott Glennie,9034,1991-02-22,CAN,"6' 1""",188,R,8475173,RW,North American Skater,WHL,Brandon
8,2009,1,9,Ottawa Senators,Jared Cowen,5015,1991-01-25,CAN,"6' 5""",220,L,8475174,D,North American Skater,WHL,Spokane
9,2009,1,10,Edmonton Oilers,Magnus Paajarvi,43112,1991-04-12,SWE,"6' 2""",205,L,8475175,LW,European Skater,SWEDEN,Timra
10,2009,1,11,Nashville Predators,Ryan Ellis,7057,1991-01-03,CAN,"5' 9""",176,R,8475176,D,North American Skater,OHL,Windsor
11,2009,1,12,New York Islanders,Calvin De Haan,5679,1991-01-08,CAN,"6' 0""",175,L,8475177,D,North American Skater,OHL,Oshawa
12,2009,1,13,Buffalo Sabres,Zack Kassian,12225,1991-01-24,CAN,"6' 3""",226,R,8475178,RW,North American Skater,OHL,Peterborough
13,2009,1,14,Florida Panthers,Dmitry Kulikov,13183,1990-10-29,RUS,"6' 1""",185,L,8475179,D,North American Skater,QMJHL,Drummondville
14,2009,1,15,Anaheim Ducks,Peter Holland,10901,1991-01-14,CAN,"6' 2""",189,L,8475180,C,North American Skater,OHL,Guelph
15,2009,1,16,Minnesota Wild,Nick Leddy,13981,1991-03-20,USA,"5' 11""",179,L,8475181,D,North American Skater,HIGH-MN,Eden Prarie
16,2009,1,17,St. Louis Blues,David Rundblad,45595,1990-10-08,SWE,"6' 2""",196,R,8475182,D,European Skater,SWEDEN,Skelleftea
17,2009,1,18,Montréal Canadiens,Louis Leblanc,13930,1991-01-26,CAN,"6' 0""",180,R,8475183,C,North American Skater,USHL,Omaha
18,2009,1,19,New York Rangers,Chris Kreider,13056,1991-04-30,USA,"6' 3""",220,L,8475184,C,North American Skater,HIGH-MA,Andover
19,2009,1,20,New Jersey Devils,Jacob Josefson,35669,1991-03-02,SWE,"6' 1""",189,L,8475185,C,European Skater,SWEDEN,Djurgarden
20,2009,1,21,Columbus Blue Jackets,John Moore,17302,1990-11-19,USA,"6' 2""",200,L,8475186,D,North American Skater,USHL,Chicago
21,2009,1,22,Vancouver Canucks,Jordan Schroeder,21962,1990-09-29,USA,"5' 8""",175,R,8475147,C,North American Skater,WCHA,U. of Minnesota
22,2009,1,23,Calgary Flames,Tim Erixon,31505,1991-02-24,USA,"6' 3""",198,L,8475148,D,North American Skater,SWEDEN,Skelleftea
23,2009,1,24,Washington Capitals,Marcus Johansson,35500,1990-10-06,SWE,"6' 0""",194,L,8475149,LW,European Skater,SWEDEN,Farjestad
24,2009,1,25,Boston Bruins,Jordan Caron,3639,1990-11-02,CAN,"6' 2""",202,L,8475150,RW,North American Skater,QMJHL,Rimouski
25,2009,1,26,Anaheim Ducks,Kyle Palmieri,18807,1991-02-01,USA,"5' 10""",191,R,8475151,RW,North American Skater,USDP,USA U-18
26,2009,1,27,Carolina Hurricanes,Philippe Paradis,18871,1991-01-02,CAN,"6' 2""",210,L,8475152,LW,North American Skater,QMJHL,Shawinigan
27,2009,1,28,Chicago Blackhawks,Dylan Olsen,18516,1991-01-03,USA,"6' 2""",206,L,8475153,D,North American Skater,AJHL,Camrose
28,2009,1,29,Tampa Bay Lightning,Carter Ashton,591,1991-04-01,CAN,"6' 2""",205,L,8475154,RW,North American Skater,WHL,Lethbridge
29,2009,1,30,Pittsburgh Penguins,Simon Despres,6011,1991-01-26,CAN,"6' 4""",218,L,8475155,D,North American Skater,QMJHL,Saint John
31,2009,2,32,Detroit Red Wings,Landon Ferraro,7507,1991-08-08,CAN,"6' 0""",167,R,8475157,C,North American Skater,WHL,Red Deer
32,2009,2,33,Colorado Avalanche,Ryan O'Reilly,18401,1991-02-07,CAN,"6' 0""",208,L,8475158,C,North American Skater,OHL,Erie
33,2009,2,34,Atlanta Thrashers,Carl Klingberg,36938,1991-01-28,SWE,"6' 3""",226,R,8475159,RW,European Skater,SWEDEN-JR.,Frolunda Jr.
34,2009,2,35,Los Angeles Kings,Kyle Clifford,4392,1991-01-13,CAN,"6' 2""",209,L,8475160,LW,North American Skater,OHL,Barrie
35,2009,2,36,Phoenix Coyotes,Chris Brown,2874,1991-02-03,USA,"6' 2""",191,R,8475161,C,North American Skater,USDP,USA U-18
36,2009,2,37,Anaheim Ducks,Mat Clark,4331,1990-10-17,USA,"6' 4""",218,R,8475162,D,North American Skater,OHL,Brampton
37,2009,2,38,Dallas Stars,Alex Chiasson,4075,1990-10-01,CAN,"6' 4""",187,R,8475163,RW,North American Skater,USHL,Des Moines
38,2009,2,39,Ottawa Senators,Jakob Silfverberg,47079,1990-10-13,SWE,"6' 1""",196,R,8475164,LW,European Skater,SWEDEN-JR.,Brynas Jr.
39,2009,2,40,Edmonton Oilers,Anton Lander,38805,1991-04-24,SWE,"6' 0""",190,L,8475165,C,European Skater,SWEDEN,Timra
40,2009,2,41,Nashville Predators,Zach Budish,3057,1991-05-09,USA,"6' 2""",229,R,8475187,RW,North American Skater,HIGH-MN,Edina H.S.
41,2009,2,42,Nashville Predators,Charles-Olivier Roussel,21187,1991-09-13,CAN,"6' 1""",200,R,8475211,D,North American Skater,QMJHL,Shawinigan
42,2009,2,43,San Jose Sharks,William Wrenn,26521,1991-03-16,USA,"6' 0""",190,R,8475212,D,North American Skater,USDP,USA U-18
43,2009,2,44,Florida Panthers,Drew Shore,22438,1991-01-29,USA,"6' 2""",190,R,8475213,C,North American Skater,USDP,USA U-18
44,2009,2,45,Atlanta Thrashers,Jeremy Morin,17392,1991-04-16,USA,"6' 1""",197,R,8475214,LW,North American Skater,USDP,USA U-18
