,draft_year,draft_round,pick_no,team,prospect_name,prospect_id,dob,birth_country,height,weight,shoots,nhl_id,position,prospect_category,amateur_league,amateur_team,nhl_games_played,200+games
0,2009,1,1,New York Islanders,John Tavares,24111,1990-09-20,CAN,"6' 1""",209,L,8475166,C,North American Skater,OHL,London,1029,1
1,2009,1,2,Tampa Bay Lightning,Victor Hedman,33799,1990-12-18,SWE,"6' 6""",220,L,8475167,D,European Skater,SWEDEN,Modo,974,1
2,2009,1,3,Colorado Avalanche,Matt Duchene,6608,1991-01-16,CAN,"6' 0""",196,L,8475168,C,North American Skater,OHL,Brampton,976,1
3,2009,1,4,Atlanta Thrashers,Evander Kane,12164,1991-08-02,CAN,"6' 1""",176,L,8475169,C,North American Skater,WHL,Vancouver,853,1
4,2009,1,5,Los Angeles Kings,Brayden Schenn,21822,1991-08-22,CAN,"6' 0""",192,L,8475170,C,North American Skater,WHL,Brandon,858,1
5,2009,1,6,Phoenix Coyotes,Oliver Ekman-Larsson,31256,1991-07-17,SWE,"6' 2""",200,L,8475171,D,European Skater,SWEDEN-2,Leksand,902,1
6,2009,1,7,Toronto Maple Leafs,Nazem Kadri,12113,1990-10-06,CAN,"6' 0""",167,L,8475172,C,North American Skater,OHL,London,821,1
7,2009,1,8,Dallas Stars,Scott Glennie,9034,1991-02-22,CAN,"6' 1""",188,R,8475173,RW,North American Skater,WHL,Brandon,1,0
8,2009,1,9,Ottawa Senators,Jared Cowen,5015,1991-01-25,CAN,"6' 5""",220,L,8475174,D,North American Skater,WHL,Spokane,249,1
9,2009,1,10,Edmonton Oilers,Magnus Paajarvi,43112,1991-04-12,SWE,"6' 2""",205,L,8475175,LW,European Skater,SWEDEN,Timra,467,1
10,2009,1,11,Nashville Predators,Ryan Ellis,7057,1991-01-03,CAN,"5' 9""",176,R,8475176,D,North American Skater,OHL,Windsor,566,1
11,2009,1,12,New York Islanders,Calvin De Haan,5679,1991-01-08,CAN,"6' 0""",175,L,8475177,D,North American Skater,OHL,Oshawa,573,1
12,2009,1,13,Buffalo Sabres,Zack Kassian,12225,1991-01-24,CAN,"6' 3""",226,R,8475178,RW,North American Skater,OHL,Peterborough,661,1
13,2009,1,14,Florida Panthers,Dmitry Kulikov,13183,1990-10-29,RUS,"6' 1""",185,L,8475179,D,North American Skater,QMJHL,Drummondville,872,1
14,2009,1,15,Anaheim Ducks,Peter Holland,10901,1991-01-14,CAN,"6' 2""",189,L,8475180,C,North American Skater,OHL,Guelph,266,1
