,name,draft_year,prospect_gp,prospect_pim,prospect_pm,draft_round,pick_no,dob,birth_country,weight,shoots,prospect_category,amateur_league,amateur_team,200+games,birth_month,height_cm,translation_factor,eq_g,eq_a,eq_pts,oGVT,dGVT,overall_GVT,position_2
0,John Tavares,2009,56,54,10,1,1,1990-09-20,CAN,209,L,North American Skater,OHL,London,1,9,185.42,0.31,21.33,16.91,38.24,0.37,0.06,0.43,F
1,Victor Hedman,2009,45,62,21,1,2,1990-12-18,SWE,220,L,European Skater,SWEDEN,Modo,1,12,198.12,0.62,6.49,14.84,21.34,0.58,0.17,0.75,D
2,Matt Duchene,2009,57,42,32,1,3,1991-01-16,CAN,196,L,North American Skater,OHL,Brampton,1,1,182.88,0.31,11.41,17.67,29.09,-1.15,0.06,-1.0899999999999999,F
3,Evander Kane,2009,61,89,51,1,4,1991-08-02,CAN,176,L,North American Skater,WHL,Vancouver,1,8,185.42,0.28,15.34,15.34,30.69,-0.88,0.03,-0.85,F
4,Brayden Schenn,2009,70,82,20,1,5,1991-08-22,CAN,192,L,North American Skater,WHL,Brandon,1,8,182.88,0.28,8.96,15.68,24.64,-1.89,0.03,-1.8599999999999999,F
5,Oliver Ekman Larsson,2009,39,32,44,1,6,1991-07-17,SWE,200,L,European Skater,SWEDEN-2,Leksand,1,7,187.96,0.62,3.32,15.5,18.83,0.23,0.17,0.4,D
6,Nazem Kadri,2009,56,31,13,1,7,1990-10-06,CAN,167,L,North American Skater,OHL,London,1,10,182.88,0.31,9.2,19.49,28.68,-1.22,0.06,-1.16,F
7,Scott Glennie,2009,55,25,22,1,8,1991-02-22,CAN,188,R,North American Skater,WHL,Brandon,0,2,185.42,0.28,9.69,14.54,24.23,-1.96,0.03,-1.93,F
8,Jared Cowen,2009,48,45,15,1,9,1991-01-25,CAN,220,L,North American Skater,WHL,Spokane,1,1,195.58,0.28,2.77,5.53,8.29,-1.28,-1.02,-2.3,D
9,Magnus Magnus Paajarvi,2009,51,4,-6,1,10,1991-04-12,SWE,205,L,European Skater,SWEDEN,Timra,1,4,187.96,0.62,5.82,8.31,14.11,-3.65,0.37,-3.28,F
10,Ryan Ellis,2009,63,61,55,1,11,1991-01-03,CAN,176,R,North American Skater,OHL,Windsor,1,1,175.26,0.31,8.28,22.53,30.81,1.94,-0.92,1.02,D
